Description,epoch,train_loss,train_accuracy,test_accuracy
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",62,1.8901617992841784,27.700000000000003,23.0
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",63,1.8915910915772838,27.700000000000003,22.900000000000002
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",64,1.747216612365246,27.700000000000003,23.0
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",65,1.8861119942038727,27.700000000000003,22.8
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",66,1.9821481829146068,27.800000000000004,23.0
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",67,1.8684369270940442,27.700000000000003,23.0
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",68,1.881157719290004,27.700000000000003,23.0
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",69,2.0396298663050176,27.700000000000003,22.900000000000002
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",70,1.8736532984412042,27.800000000000004,22.900000000000002
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",71,1.790832129531728,27.700000000000003,23.0
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",72,1.997748033835378,27.800000000000004,23.0
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",73,1.9379055515094137,27.800000000000004,23.0
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",74,1.9617851412286018,27.800000000000004,23.0
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",75,1.9949536887693466,27.800000000000004,23.0
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",76,1.7730712495381409,27.800000000000004,23.0
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",77,1.9906719228345355,27.800000000000004,23.0
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",78,1.7602953808114399,27.800000000000004,23.0
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",79,1.8219982842941636,27.700000000000003,23.0
"Starting LR:0.01, L2Reg:1e-05, Batch Size:1",80,2.086996719286485,27.800000000000004,23.0
Description,epoch,train_loss,train_accuracy,test_accuracy
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",1,1.7738418793678283,40.300000000000004,39.1
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",2,1.7313075804710387,41.6,40.400000000000006
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",3,1.7494136667251587,42.8,40.300000000000004
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",4,1.6987285089492798,43.6,40.5
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",5,1.685604830980301,43.6,40.6
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",6,1.68955091714859,43.5,40.8
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",7,1.674824275970459,43.8,40.699999999999996
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",8,1.6897938990592956,43.4,39.900000000000006
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",9,1.695585972070694,44.0,40.1
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",10,1.6836308360099792,44.3,40.1
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",11,1.622112214565277,45.300000000000004,41.199999999999996
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",12,1.6386904048919677,45.1,41.0
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",13,1.65454159617424,44.7,39.900000000000006
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",14,1.6603438031673432,44.7,40.6
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",15,1.6546284914016725,44.800000000000004,39.800000000000004
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",16,1.6574834322929382,45.300000000000004,40.699999999999996
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",17,1.6437578403949737,44.7,40.300000000000004
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",18,1.6419367861747742,45.7,40.8
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",19,1.614495353102684,45.6,41.199999999999996
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",20,1.6519026625156403,45.300000000000004,40.5
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",21,1.6045931732654573,44.9,39.1
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",22,1.6500475537776946,45.300000000000004,39.5
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",23,1.6494616901874541,45.7,40.0
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",24,1.6397269475460052,45.1,40.1
