Description,epoch,train_loss,train_accuracy,test_accuracy
"Starting LR:0.01, L2Reg:1e-07, Batch Size:32",12,0.5497382108867168,82.89999999999999,83.1
"Starting LR:0.01, L2Reg:1e-07, Batch Size:32",13,0.4897345642745495,83.0,83.2
"Starting LR:0.01, L2Reg:1e-07, Batch Size:32",14,0.49680613830685616,82.89999999999999,83.1
"Starting LR:0.01, L2Reg:1e-07, Batch Size:32",15,0.5020623369514943,83.1,83.39999999999999
"Starting LR:0.01, L2Reg:1e-07, Batch Size:32",16,0.48249592825770377,83.0,83.1
"Starting LR:0.01, L2Reg:1e-07, Batch Size:32",17,0.4659011659026146,83.1,83.3
"Starting LR:0.01, L2Reg:1e-07, Batch Size:32",18,0.4950241139531136,83.1,83.3
"Starting LR:0.01, L2Reg:1e-07, Batch Size:32",19,0.4811825451254845,83.2,83.3
"Starting LR:0.01, L2Reg:1e-07, Batch Size:32",20,0.4828003502637148,83.2,83.1
"Starting LR:0.01, L2Reg:1e-07, Batch Size:32",21,0.5158453702926635,83.2,83.3
"Starting LR:0.01, L2Reg:1e-07, Batch Size:32",22,0.532169198654592,83.3,83.39999999999999
"Starting LR:0.01, L2Reg:1e-07, Batch Size:32",23,0.5018369398266077,83.3,83.3
"Starting LR:0.01, L2Reg:1e-07, Batch Size:32",24,0.4859634457528591,83.0,83.0
"Starting LR:0.01, L2Reg:1e-07, Batch Size:32",25,0.49078746989369393,83.3,83.3
"Starting LR:0.01, L2Reg:1e-07, Batch Size:32",26,0.49661842696368697,83.5,83.39999999999999
"Starting LR:0.01, L2Reg:1e-07, Batch Size:32",27,0.4928041808307171,83.39999999999999,83.39999999999999
"Starting LR:0.01, L2Reg:1e-07, Batch Size:32",28,0.5040334430336952,83.5,83.39999999999999
"Starting LR:0.01, L2Reg:1e-07, Batch Size:32",29,0.4916923162341118,83.39999999999999,83.39999999999999
"Starting LR:0.01, L2Reg:1e-07, Batch Size:32",30,0.48258470714092255,83.39999999999999,83.39999999999999
"Starting LR:0.01, L2Reg:1e-07, Batch Size:32",31,0.48270235642790793,83.5,83.39999999999999
"Starting LR:0.01, L2Reg:1e-07, Batch Size:32",32,0.4894487364590168,83.39999999999999,83.39999999999999
"Starting LR:0.01, L2Reg:1e-07, Batch Size:32",33,0.4962766581773758,83.39999999999999,83.39999999999999
"Starting LR:0.01, L2Reg:1e-07, Batch Size:32",34,0.48699876062572,83.39999999999999,83.39999999999999
"Starting LR:0.01, L2Reg:1e-07, Batch Size:32",35,0.48503015786409376,83.5,83.39999999999999
"Starting LR:0.01, L2Reg:1e-07, Batch Size:32",36,0.46955517306923866,83.5,83.39999999999999
"Starting LR:0.01, L2Reg:1e-07, Batch Size:32",37,0.5107880774140358,83.5,83.5
