Description,epoch,train_loss,train_accuracy,test_accuracy
"Starting LR:0.01, L2Reg:0",80,1.6317945778369904,45.7,41.699999999999996
"Starting LR:0.01, L2Reg:0",81,1.6391914808750152,45.7,41.699999999999996
"Starting LR:0.01, L2Reg:0",82,1.6198373901844025,45.7,41.699999999999996
"Starting LR:0.01, L2Reg:0",83,1.616297334432602,45.7,41.699999999999996
"Starting LR:0.01, L2Reg:0",84,1.6216562700271606,45.7,41.699999999999996
"Starting LR:0.01, L2Reg:0",85,1.6222520983219146,45.7,41.699999999999996
"Starting LR:0.01, L2Reg:0",86,1.632391928434372,45.7,41.699999999999996
"Starting LR:0.01, L2Reg:0",87,1.6151133918762206,45.7,41.699999999999996
"Starting LR:0.01, L2Reg:0",88,1.6279137933254242,45.7,41.699999999999996
"Starting LR:0.01, L2Reg:0",89,1.632766547203064,45.7,41.699999999999996
"Starting LR:0.01, L2Reg:0",90,1.6239417135715484,45.7,41.699999999999996
"Starting LR:0.01, L2Reg:0",91,1.6398955118656158,45.6,41.699999999999996
"Starting LR:0.01, L2Reg:0",92,1.6229400300979615,45.6,41.699999999999996
"Starting LR:0.01, L2Reg:0",93,1.6181705367565156,45.6,41.699999999999996
"Starting LR:0.01, L2Reg:0",94,1.6402676284313202,45.6,41.699999999999996
"Starting LR:0.01, L2Reg:0",95,1.6288235759735108,45.6,41.699999999999996
"Starting LR:0.01, L2Reg:0",96,1.6276883363723755,45.6,41.699999999999996
"Starting LR:0.01, L2Reg:0",97,1.61477863073349,45.6,41.699999999999996
"Starting LR:0.01, L2Reg:0",98,1.630358943939209,45.6,41.699999999999996
"Starting LR:0.01, L2Reg:0",99,1.6314533209800721,45.7,41.699999999999996
"Starting LR:0.01, L2Reg:0",100,1.6264696872234345,45.7,41.699999999999996
Description,epoch,train_loss,train_accuracy,test_accuracy
"Starting LR:0.01, L2Reg:1e-07",1,1.8499545383453369,39.5,39.1
"Starting LR:0.01, L2Reg:1e-07",2,1.7809557259082793,40.699999999999996,39.2
"Starting LR:0.01, L2Reg:1e-07",3,1.7566159689426422,41.699999999999996,40.8
"Starting LR:0.01, L2Reg:1e-07",4,1.7314596557617188,42.1,40.9
"Starting LR:0.01, L2Reg:1e-07",5,1.723079923391342,42.5,41.0
"Starting LR:0.01, L2Reg:1e-07",6,1.7037792575359345,42.8,41.099999999999994
"Starting LR:0.01, L2Reg:1e-07",7,1.7126371610164641,43.1,41.0
"Starting LR:0.01, L2Reg:1e-07",8,1.7004253101348876,42.6,40.8
"Starting LR:0.01, L2Reg:1e-07",9,1.6917822718620301,43.5,41.099999999999994
"Starting LR:0.01, L2Reg:1e-07",10,1.6786223220825196,43.3,41.0
"Starting LR:0.01, L2Reg:1e-07",11,1.686690502166748,43.5,41.3
"Starting LR:0.01, L2Reg:1e-07",12,1.6835248577594757,44.0,41.4
"Starting LR:0.01, L2Reg:1e-07",13,1.677707234621048,44.0,41.5
"Starting LR:0.01, L2Reg:1e-07",14,1.6740823471546173,43.9,41.6
"Starting LR:0.01, L2Reg:1e-07",15,1.6715215730667115,44.2,41.4
"Starting LR:0.01, L2Reg:1e-07",16,1.666001214981079,44.6,41.5
"Starting LR:0.01, L2Reg:1e-07",17,1.6564205050468446,44.4,40.9
