Description,epoch,train_loss,train_accuracy,test_accuracy
"Starting LR:0.01, L2Reg:0",83,0.7590862911939621,72.2,72.2
"Starting LR:0.01, L2Reg:0",84,0.752586030960083,72.2,72.2
"Starting LR:0.01, L2Reg:0",85,0.7666946697235107,72.2,72.2
"Starting LR:0.01, L2Reg:0",86,0.7639245408773422,72.2,72.2
"Starting LR:0.01, L2Reg:0",87,0.7586135333776474,72.2,72.2
"Starting LR:0.01, L2Reg:0",88,0.7463539624214173,72.2,72.2
"Starting LR:0.01, L2Reg:0",89,0.7617920386791229,72.2,72.2
"Starting LR:0.01, L2Reg:0",90,0.7411151206493378,72.2,72.2
"Starting LR:0.01, L2Reg:0",91,0.7532734084129333,72.2,72.2
"Starting LR:0.01, L2Reg:0",92,0.7496244505047798,72.2,72.2
"Starting LR:0.01, L2Reg:0",93,0.7567701452970504,72.2,72.2
"Starting LR:0.01, L2Reg:0",94,0.7491515511274338,72.2,72.2
"Starting LR:0.01, L2Reg:0",95,0.7478023046255111,72.2,72.2
"Starting LR:0.01, L2Reg:0",96,0.7445642870664596,72.2,72.2
"Starting LR:0.01, L2Reg:0",97,0.7583240926265716,72.2,72.2
"Starting LR:0.01, L2Reg:0",98,0.7453580659627914,72.2,72.2
"Starting LR:0.01, L2Reg:0",99,0.7593972706794738,72.2,72.2
"Starting LR:0.01, L2Reg:0",100,0.7587114530801773,72.2,72.2
Description,epoch,train_loss,train_accuracy,test_accuracy
"Starting LR:0.01, L2Reg:1e-07",1,0.5484096890687943,87.0,87.9
"Starting LR:0.01, L2Reg:1e-07",2,0.4363808073103428,88.8,89.7
"Starting LR:0.01, L2Reg:1e-07",3,0.37795038416981697,89.60000000000001,90.3
"Starting LR:0.01, L2Reg:1e-07",4,0.35694977417588236,89.9,90.5
"Starting LR:0.01, L2Reg:1e-07",5,0.3579317979514599,90.3,90.7
"Starting LR:0.01, L2Reg:1e-07",6,0.3462721872329712,90.4,90.9
"Starting LR:0.01, L2Reg:1e-07",7,0.3375661727786064,90.60000000000001,91.0
"Starting LR:0.01, L2Reg:1e-07",8,0.3228086118400097,90.8,91.2
"Starting LR:0.01, L2Reg:1e-07",9,0.32010701939463615,90.9,91.5
"Starting LR:0.01, L2Reg:1e-07",10,0.31992793768644334,90.9,91.5
"Starting LR:0.01, L2Reg:1e-07",11,0.3225748620927334,91.0,91.4
"Starting LR:0.01, L2Reg:1e-07",12,0.3090135583281517,91.3,91.5
"Starting LR:0.01, L2Reg:1e-07",13,0.30384876862168314,91.3,91.5
"Starting LR:0.01, L2Reg:1e-07",14,0.30466273963451385,91.4,91.60000000000001
"Starting LR:0.01, L2Reg:1e-07",15,0.30512920588254927,91.5,91.7
"Starting LR:0.01, L2Reg:1e-07",16,0.29959331303834913,91.60000000000001,91.8
"Starting LR:0.01, L2Reg:1e-07",17,0.29875481203198434,91.60000000000001,91.7
"Starting LR:0.01, L2Reg:1e-07",18,0.30136261612176896,91.7,91.9
"Starting LR:0.01, L2Reg:1e-07",19,0.30450554460287094,91.7,91.9
"Starting LR:0.01, L2Reg:1e-07",20,0.2873307877779007,91.8,92.0
"Starting LR:0.01, L2Reg:1e-07",21,0.30027667865157126,91.8,92.0
"Starting LR:0.01, L2Reg:1e-07",22,0.28439006961882113,91.8,91.9
"Starting LR:0.01, L2Reg:1e-07",23,0.2821773856878281,91.8,91.9
"Starting LR:0.01, L2Reg:1e-07",24,0.2883250248432159,91.8,91.9
"Starting LR:0.01, L2Reg:1e-07",25,0.28146448493003845,91.9,92.0
"Starting LR:0.01, L2Reg:1e-07",26,0.2829344268143177,92.0,92.0
"Starting LR:0.01, L2Reg:1e-07",27,0.2873477843403816,92.0,92.0
"Starting LR:0.01, L2Reg:1e-07",28,0.28755109041929244,92.0,92.0
"Starting LR:0.01, L2Reg:1e-07",29,0.27327595978975294,92.0,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",30,0.2839328599721193,92.0,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",31,0.28315603151917457,92.0,92.0
"Starting LR:0.01, L2Reg:1e-07",32,0.29346271067857743,92.0,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",33,0.28464832067489626,92.0,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",34,0.27853847824037076,92.0,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",35,0.28020064800977706,92.0,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",36,0.2835346329212189,92.0,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",37,0.2811881500482559,92.0,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",38,0.2831162352859974,92.0,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",39,0.27313112989068034,92.0,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",40,0.2859031277894974,92.0,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",41,0.2835341314971447,92.0,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",42,0.2786702798306942,92.0,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",43,0.28987025171518327,92.0,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",44,0.2797400389611721,92.0,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",45,0.2815572820603848,92.0,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",46,0.2769510167837143,92.0,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",47,0.2912528647482395,92.10000000000001,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",48,0.2886321297287941,92.0,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",49,0.2887788939476013,92.0,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",50,0.2805897609889507,92.0,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",51,0.28241149097681045,92.0,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",52,0.2765603622794151,92.0,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",53,0.2925129018723965,92.0,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",54,0.27784365341067313,92.0,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",55,0.2765980762243271,92.10000000000001,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",56,0.2875651301443577,92.0,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",57,0.29236905694007875,92.10000000000001,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",58,0.27877734541893007,92.10000000000001,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",59,0.29086531676352023,92.10000000000001,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",60,0.2729766871035099,92.10000000000001,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",61,0.2891917358338833,92.10000000000001,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",62,0.2815555399656296,92.10000000000001,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",63,0.2817104908823967,92.10000000000001,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",64,0.27728191778063777,92.10000000000001,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",65,0.2813908036053181,92.10000000000001,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",66,0.2807091248035431,92.10000000000001,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",67,0.27572781398892404,92.10000000000001,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",68,0.2777456974983215,92.10000000000001,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",69,0.2776895542442799,92.10000000000001,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",70,0.2766453185677528,92.10000000000001,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",71,0.27922201916575434,92.10000000000001,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",72,0.27736794769763945,92.10000000000001,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",73,0.29217526361346247,92.10000000000001,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",74,0.2811532594263554,92.10000000000001,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",75,0.28773627370595933,92.10000000000001,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",76,0.2776143972575664,92.10000000000001,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",77,0.28066179901361465,92.10000000000001,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",78,0.2714978960901499,92.10000000000001,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",79,0.28639931946992875,92.10000000000001,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",80,0.2787852144241333,92.10000000000001,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",81,0.2816513633728027,92.10000000000001,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",82,0.2814637035131454,92.10000000000001,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",83,0.28965201377868655,92.10000000000001,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",84,0.28089006036520003,92.10000000000001,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",85,0.28774552181363106,92.10000000000001,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",86,0.28051483556628226,92.10000000000001,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",87,0.26598859891295434,92.10000000000001,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",88,0.27639541909098625,92.10000000000001,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",89,0.27873013377189637,92.10000000000001,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",90,0.2831986004114151,92.10000000000001,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",91,0.2808883789181709,92.10000000000001,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",92,0.2795081539452076,92.10000000000001,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",93,0.2776016294956207,92.10000000000001,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",94,0.2797736856341362,92.10000000000001,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",95,0.28568327337503435,92.10000000000001,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",96,0.27196210592985154,92.10000000000001,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",97,0.27882930800318717,92.10000000000001,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",98,0.27641700945794584,92.10000000000001,92.10000000000001
"Starting LR:0.01, L2Reg:1e-07",99,0.2748322880268097,92.10000000000001,92.10000000000001
