Description,epoch,train_loss,train_accuracy,test_accuracy
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",54,1.628486692905426,45.5,42.0
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",55,1.6179238617420197,45.5,42.0
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",56,1.622583831548691,45.5,42.0
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",57,1.6224800336360932,45.5,42.0
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",58,1.6181516218185426,45.5,42.0
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",59,1.6279838716983794,45.5,42.0
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",60,1.6235178363323213,45.5,42.0
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",61,1.6231150865554809,45.5,42.0
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",62,1.6389069867134094,45.5,42.0
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",63,1.6294894886016846,45.5,42.0
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",64,1.625731613636017,45.5,42.0
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",65,1.6210078382492066,45.5,42.0
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",66,1.624516544342041,45.5,42.0
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",67,1.631051994562149,45.5,42.0
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",68,1.6218260765075683,45.5,42.0
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",69,1.6356625008583068,45.5,42.0
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",70,1.626770920753479,45.5,42.0
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",71,1.6299276471138,45.5,42.0
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",72,1.630576343536377,45.5,42.0
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",73,1.6263729751110076,45.5,42.0
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",74,1.623194353580475,45.5,42.0
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",75,1.6219169545173644,45.5,42.0
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",76,1.6224843907356261,45.5,42.0
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",77,1.621715750694275,45.5,42.0
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",78,1.6277558958530427,45.5,42.0
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",79,1.6324080288410188,45.5,42.0
"Optimizer: SGD, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",80,1.6428077006340027,45.5,42.0
Description,epoch,train_loss,train_accuracy,test_accuracy
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",1,2.492218233346939,19.8,18.8
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",2,2.5222898435592653,17.7,16.400000000000002
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",3,2.5014212346076965,18.5,16.8
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",4,2.469574693441391,17.4,15.7
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",5,2.4675594830513,17.0,15.5
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",6,2.3949153089523314,16.1,14.000000000000002
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",7,2.3601958394050597,17.8,16.0
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",8,2.328322606086731,18.8,17.1
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",9,2.3037667417526246,17.299999999999997,15.7
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",10,2.3201928400993346,18.3,16.400000000000002
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",11,2.2850100708007814,17.1,15.4
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",12,2.2892803525924683,16.1,14.099999999999998
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",13,2.2696699905395508,15.1,13.600000000000001
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",14,2.3350657391548157,17.9,16.1
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",15,2.2612923336029054,16.1,14.099999999999998
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",16,2.294796805381775,15.4,14.2
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",17,2.314195466041565,16.3,14.799999999999999
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",18,2.2354423356056214,16.400000000000002,15.0
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",19,2.292320213317871,16.2,14.899999999999999
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",20,2.2604213976860046,17.9,16.0
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",21,2.264111979007721,18.099999999999998,16.5
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",22,2.2713767504692077,16.1,14.399999999999999
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",23,2.248781294822693,16.0,14.6
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",24,2.3072741055488586,16.2,14.7
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",25,2.269349660873413,15.7,14.399999999999999
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",26,2.150494122505188,19.6,17.299999999999997
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",27,2.1080136597156525,19.8,17.2
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",28,2.096954482793808,20.599999999999998,18.0
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",29,2.087806963920593,21.3,18.6
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",30,2.089147927761078,21.2,18.2
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",31,2.062280532121658,21.4,18.5
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",32,2.053736344575882,22.3,19.2
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",33,2.041599612236023,22.1,19.1
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",34,2.0510396361351013,22.2,19.0
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",35,2.048684792518616,22.7,19.6
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",36,2.044216402769089,22.5,19.5
